Ride,"Overall average queue time, mins"
Madagascar Crazy River Adventure!,69
TURBO DRIVE,65
Tchibum,55
Star Mountain,49
Raskapuska,45
SPIN BLAST,45
Tigor Mountain,42
Big Drop,40
FireWhip,39
[Archived] Big Tower,37
Roda-Gigante,34
Rebuliço,32
Ferrovia DinoMagic,29
Autopista (bate-bate),22
[Archived] Pedalinho,20
Baby Elefante,18
Montanha-russa Dum Dum,15
Barco Pirata,14
SUPER SOAKER SPLASH,13
[Archived] Trenzinho Vila Esperança,13
[Archived] Betinho Carrero 4D,9
Xícaras Malucas,8
Carrossel Veneziano,7
Betinho Carrero 2D,6
