Ride,"Average maximum queue time, mins"
TURBO DRIVE,123
Madagascar Crazy River Adventure!,108
SPIN BLAST,93
Star Mountain,93
Tigor Mountain,92
Raskapuska,89
Tchibum,85
FireWhip,79
Big Drop,76
[Archived] Big Tower,71
Roda-Gigante,70
Rebuliço,60
Ferrovia DinoMagic,53
Autopista (bate-bate),49
Baby Elefante,46
[Archived] Pedalinho,40
Montanha-russa Dum Dum,36
Barco Pirata,30
SUPER SOAKER SPLASH,27
Xícaras Malucas,20
[Archived] Betinho Carrero 4D,18
[Archived] Trenzinho Vila Esperança,17
Carrossel Veneziano,15
Betinho Carrero 2D,11
